"1","PROV-LG HEPL SITE RENNEQUIN SUALEM","prov-lg-hepl-site-rennequin-sualem","Quai Gloesener 06",,"Liège",,"4020",,,,,,,"27-_haute_ecole_rennequi_sualem_liege.jpg","0","<p>POSITION 1 : au rez-de-chaussée, dans le couloir à droite en entrant.</p>
<hr class=""system-pagebreak"" />
<p>POSITION 2 : au 4ème étage, palier central entre le local 405 et 406.</p>
<hr class=""system-pagebreak"" />
<p>DISPONIBILITÉ 1 : du lundi au vendredi de 8h à 17h</p>
<hr class=""system-pagebreak"" />
<p>DISPONIBILITÉ 2 : du lundi au samedi de 8h30 à 17h30</p>",,,,"18",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5813175000","50.620649699","7","34","62","1","0","DEA ISSIL","DEA ISSIL","662"
"4","IBIS","ibis","Place la République Française, 41 ",,"Liège",,"4000",,,,,,,"ibis.jpg","0","<p>POSITION : Situé dans le hall principale</p>
<hr class=""system-pagebreak"" />
<p>DISPONIBILITÉ : 24h / 24h</p>",,,,"18",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5716939999","50.6432359","14","34","62","1","0","hotel ibis","ibis, hotel","661"
"5","KINEPOLIS","kinepolis","Chaussée de Tongres, 172",,"Liège",,"4000",,,,,,,"kinepolis.jpg","0","<p>Situé dans le hall principal</p>",,"<p>tous les jours dès 8h30</p>","Position des défibrillateurs","18",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5540773000","50.6683001","6","34","62","1","0","cinema kinepolis rocourt","kinepolis, rocourt, cinema","660"
"6","BELLE ILE","belle-ile","Quai des Vennes, 1 / 057",,"Liège",,"4010",,,,,,,"belle_ile.jpg","0","<p>POSITION : situé prêt des toilettes.</p>
<hr class=""system-pagebreak"" />
<p>DISPONIBILITÉ : lun-jeu, sam : 10h - 19h vendredi : 10h–20h</p>",,"<p>lun.-jeu., sam. 	10:00–19:00 ven. 	10:00–20:00 dim. 	Fermé</p>",,"18",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5985582000","50.6151109","6","34","62","1","0","centre commercial belle ile","centre commercial, belle ile","659"
"7","IKEA","ikea","Porte de Liège 7",,"Hognoul",,"4342",,,,,,,"ikea.jpg","0","<p>POSITION : situé dans le restaurant du magasin au premier étage</p>
<hr class=""system-pagebreak"" />
<p>DISPONIBILITÉ : Lundi-jeudi: 10h - 19h30 Vendredi: 10h - 20h30 Samedi: 9h - 19h30</p>",,,,"18",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.4619682999","50.680791199","5","34","62","1","0",,"ikea, Porte de Liège, 4342, Hognoul, restaurant","658"
"8","OPERA","opera","Galerie Opéra ",,"Liège",,"4000",,,,,,,,"0","<p>POSITION : situé à l'entrée de la gallerie (coté Mc Donald's).</p>
<hr class=""system-pagebreak"" />
<p>DISPONIBILITÉ : du lundi au samedi de 10 à 18h</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5796662000","50.6325574","15","34","62","1","0",,"galerie,opera,liege","657"
"9","PLACE ST LAMBERT","place-st-lambert","Place Saint Lambert 4000 Liège",,"Liège",,"4000",,,,,,,"place_st_lambert._jpg.jpg","0","<p>POSITION : situé à l'accueil du Gouvernement Provincial au Palais des Princes Eveques de Liége.</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5736260999","50.6456344","13","34","62","0","0",,"Gouvernement Provincial, Palais des Princes Eveques de Liége, place st lambert","656"
"10","PLOPSALAND","plopsaland","Gouverneur Verwilghensingel 70",,"Hasselt",,"3500",,,,,,,"plopsaland.jpg","0","<p>POSITION : situé à gauche du restaurant ""La Cascade"".</p>
<hr class=""system-pagebreak"" />
<p>DISPONIBILITÉ : voir le calendrier -&gt; http://www.plopsa.be/hasselt/fr/calendar</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.3609825999","50.934198900","21","34","62","1","0",,"plopsaland, plopsa,hasselt","655"
"11","ANDRIMONT","andrimont","rue Pire Pierre 30bis",,"Dison",,"4821",,,,,,,"_hall_omnisports_de_andrimont.jpg","0","<p>POSITION : Hall Omnisports de Andrimont.</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.8703061999","50.6023097","12","34","62","1","0",,"dison, andrimont, hall omnisports","654"
"12","PROV-LG INSTITUT ERNEST MALVOZ","prov-lg-institut-ernest-malvoz","Quai du Barbou, 4",,"Liège",,"4000",,,,,,,"23-_institut_malvoz_-_liège.jpg","0","<p>POSITION : situé à l'institut Ernest Malvoz</p>
<hr class=""system-pagebreak"" />
<p>DISPONIBILITÉ : du lundi au vendredi de 8h30 à 16h00</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5934293000","50.645610299","19","34","62","1","0",,"barbou, malvoz,liege","653"
"13","MEDIACITÉ","mediacite","Boulevard Raymond Poincaré 7",,"Liège",,"4020",,,,,,,,"0","<p>POSITION : situé a l'infirmerie via le personnel de sécurité formé a son utilisation.</p>
<hr class=""system-pagebreak"" />
<p>DISPONIBILITÉ : du lundi au jeudi et le samedi de 10h à 20h Vendredi 10h à 21h</p>",,,,"0",,,"1","http://img33.imageshack.us/img33/6831/pointeurombre.png","5.5799076000","50.6300076","18","34","62","1","0",,"Médiacité, longdoz, liége,galerie","652"
